# e nb T p mub mus
0.2400000 0.6800000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.6900000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.7000000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.7100000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.7200000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.7300000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.7400000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.7500000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.7600000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.7700000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.7800000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.7900000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.8000000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.8100000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.8200000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.8300000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.8400000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.8500000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.8600000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.8700000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.8800000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.8900000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.9000000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.9100000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.9200000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.9300000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.9400000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.9500000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.9600000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.9700000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.9800000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 0.9900000 0.0000000 0.0000000 0.0000000 0.0000000
0.2400000 1.0000000 0.0000000 0.0000000 0.0000000 0.0000000
0.2500000 0.0000000 0.1508046 0.0420064 0.0000000 0.0000000
0.2500000 0.0100000 0.1506266 0.0418916 0.0459719 0.0082315
0.2500000 0.0200000 0.1501022 0.0415565 0.0912523 0.0164664
0.2500000 0.0300000 0.1492558 0.0410263 0.1353157 0.0247095
